imt,level,mean_poe,p16_poe,p84_poe
SA(0.6),0.016,0.07142620533704758,0.05501926690340042,0.08191511034965515
SA(0.6),0.021,0.05209575593471527,0.03974175080657005,0.060213375836610794
SA(0.6),0.027,0.03822432830929756,0.028774449601769447,0.04496180638670921
SA(0.6),0.036,0.026157928630709648,0.01910141296684742,0.032057300209999084
SA(0.6),0.047,0.017876258119940758,0.012348023243248463,0.022877398878335953
SA(0.6),0.062,0.011606802232563496,0.007922166027128696,0.015758398920297623
SA(0.6),0.081,0.007338013965636492,0.004946600180119276,0.010387428104877472
SA(0.6),0.11,0.004096947610378265,0.002522250171750784,0.006142617668956518
SA(0.6),0.14,0.002466571517288685,0.0013673811918124557,0.0037396058905869722
SA(0.6),0.18,0.0013849475653842092,0.0006840715650469065,0.0022221801336854696
SA(0.6),0.24,0.0006714306073263288,0.00028186728013679385,0.0011786596151068807
SA(0.6),0.31,0.0003326598380226642,0.00012295745545998216,0.0006244446849450469
SA(0.6),0.4,0.00015646370593458414,5.115605745231733e-05,0.0002976825926452875
SA(0.6),0.53,6.38573183096014e-05,1.829381835705135e-05,0.0001180859180749394
SA(0.6),0.69,2.5955980163416825e-05,6.471996130130719e-06,4.611734038917348e-05
SA(0.6),0.9,9.882078302325681e-06,2.132973577317898e-06,1.6632102415314876e-05
SA(0.6),1.18,3.4697543469519587e-06,6.478589398284385e-07,5.444886483019218e-06
SA(0.6),1.54,1.163600700238021e-06,1.8333543039261713e-07,1.6689373296685517e-06
SA(0.6),2.01,3.6469143083195377e-07,4.9665214163496785e-08,4.7638297928642714e-07
SA(0.6),2.62,1.0684777862479677e-07,9.836234937665722e-09,1.249064780495246e-07
SA(0.6),3.42,2.870660154030702e-08,1.7149246467340618e-09,2.9260062817115795e-08
SA(0.6),4.47,7.051974115768189e-09,2.5754676169498225e-10,6.111755546100994e-09
SA(0.6),5.95,1.414153016909836e-09,6.39663877421981e-11,1.0661386218302482e-09
SA(1.0),0.00019,0.6608923077583313,0.6312384009361267,0.696436882019043
SA(1.0),0.004,0.1673656404018402,0.14071287214756012,0.18774084746837616
SA(1.0),0.0055,0.12626662850379944,0.10323834419250488,0.14309506118297577
SA(1.0),0.0074,0.09469800442457199,0.0750962346792221,0.10805962234735489
SA(1.0),0.0099,0.0699402242898941,0.05506853759288788,0.08013931661844254
SA(1.0),0.013,0.05172446742653847,0.04018629714846611,0.05951465293765068
SA(1.0),0.017,0.03771165385842323,0.028279365971684456,0.04382994771003723
SA(1.0),0.023,0.02569437213242054,0.01828906312584877,0.03116464801132679
SA(1.0),0.03,0.017780471593141556,0.011681544594466686,0.022752728313207626
